,Category,Current Channel,Current Video,Current Views,Next Channel,Count,CHANNEL_TITLE,IDEOLOGY
172,Alt-light,Sargon of Akkad,The Language of Oppression,325079,Liberty University,1,,
173,Alt-light,Sargon of Akkad,The Language of Oppression,325079,jimgaffigan,1,,
174,Alt-light,Sargon of Akkad,The Language of Oppression,325079,CGP Grey,1,,
175,Alt-light,Sargon of Akkad,The Language of Oppression,325079,WatchTheDaily,1,,
176,Alt-light,Sargon of Akkad,The Language of Oppression,325079,abcqanda,1,,
177,Alt-light,Sargon of Akkad,The Language of Oppression,325079,HooverInstitution,1,HooverInstitution,Libertarian
178,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,Freedom Speaks,1,Freedom Speaks,Alt-light
179,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,Fox News,1,Fox News,Partisan Right
180,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,The Late Show with Stephen Colbert,1,The Late Show with Stephen Colbert,Partisan Left
181,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,Real Time with Bill Maher,1,Real Time with Bill Maher,Partisan Left
182,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,abcqanda,1,,
183,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,DanHannan,1,,
184,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,Yahoo,1,,
185,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,CNN,1,CNN,Partisan Left
186,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,ABC News,1,ABC News,
187,Alt-light,Freedom Speaks,"Socialist Tries To Bait Conservative, UTTERLY Destroyed Instead",1933,PBS NewsHour,1,PBS NewsHour,
188,Alt-light,THAT'S THE POINT with Brandon,"""YOU WANT TO FACE BIDEN or BERNIE?"" WARREN SCREWED BERNIE SANDERS!",8150,THAT'S THE POINT with Brandon,1,THAT'S THE POINT with Brandon,Alt-light
189,Alt-light,THAT'S THE POINT with Brandon,"""YOU WANT TO FACE BIDEN or BERNIE?"" WARREN SCREWED BERNIE SANDERS!",8150,Fox News,3,Fox News,Partisan Right
190,Alt-light,THAT'S THE POINT with Brandon,"""YOU WANT TO FACE BIDEN or BERNIE?"" WARREN SCREWED BERNIE SANDERS!",8150,George Carlin Official YouTube Channel,1,,
191,Alt-light,THAT'S THE POINT with Brandon,"""YOU WANT TO FACE BIDEN or BERNIE?"" WARREN SCREWED BERNIE SANDERS!",8150,The Late Show with Stephen Colbert,1,The Late Show with Stephen Colbert,Partisan Left
192,Alt-light,THAT'S THE POINT with Brandon,"""YOU WANT TO FACE BIDEN or BERNIE?"" WARREN SCREWED BERNIE SANDERS!",8150,Global News,1,,
193,Alt-light,THAT'S THE POINT with Brandon,"""YOU WANT TO FACE BIDEN or BERNIE?"" WARREN SCREWED BERNIE SANDERS!",8150,Montreal Gazette,1,,
194,Alt-light,THAT'S THE POINT with Brandon,"""YOU WANT TO FACE BIDEN or BERNIE?"" WARREN SCREWED BERNIE SANDERS!",8150,CNN,1,CNN,Partisan Left
195,Alt-light,THAT'S THE POINT with Brandon,"""YOU WANT TO FACE BIDEN or BERNIE?"" WARREN SCREWED BERNIE SANDERS!",8150,Nik Nikam,1,,
196,Alt-light,Aydin Paladin,I'm Trans Now? Diagnosing Rapid Onset Dysphoria,54471,Aydin Paladin,3,Aydin Paladin,Alt-light
197,Alt-light,Aydin Paladin,I'm Trans Now? Diagnosing Rapid Onset Dysphoria,54471,The Heritage Foundation,1,The Heritage Foundation,Partisan Right
198,Alt-light,Aydin Paladin,I'm Trans Now? Diagnosing Rapid Onset Dysphoria,54471,Manhattan Institute,1,,
199,Alt-light,Aydin Paladin,I'm Trans Now? Diagnosing Rapid Onset Dysphoria,54471,Jordan B Peterson,1,Jordan B Peterson,IDW
200,Alt-light,Aydin Paladin,I'm Trans Now? Diagnosing Rapid Onset Dysphoria,54471,RedLetterMedia,1,,
201,Alt-light,Aydin Paladin,I'm Trans Now? Diagnosing Rapid Onset Dysphoria,54471,Miss Hentai Music,1,,
202,Alt-light,Aydin Paladin,I'm Trans Now? Diagnosing Rapid Onset Dysphoria,54471,Kati Morton,1,,
203,Alt-light,Aydin Paladin,I'm Trans Now? Diagnosing Rapid Onset Dysphoria,54471,Real Time with Bill Maher,1,Real Time with Bill Maher,Partisan Left
204,Alt-light,Wild Smile,Wild TV - Episode 01,8838,Wild Smile,3,Wild Smile,Alt-light
205,Alt-light,Wild Smile,Wild TV - Episode 01,8838,abcqanda,1,,
206,Alt-light,Wild Smile,Wild TV - Episode 01,8838,Purewell Electrical,1,,
207,Alt-light,Wild Smile,Wild TV - Episode 01,8838,Fox News,3,Fox News,Partisan Right
208,Alt-light,Wild Smile,Wild TV - Episode 01,8838,Novara Media,1,,
209,Alt-light,Wild Smile,Wild TV - Episode 01,8838,Gabriel Iglesias,1,,
210,Alt-light,YAFTV,The Victims of Socialism: George Harbison,1071,YAFTV,1,YAFTV,Alt-light
211,Alt-light,YAFTV,The Victims of Socialism: George Harbison,1071,abcqanda,2,,
212,Alt-light,YAFTV,The Victims of Socialism: George Harbison,1071,HooverInstitution,3,HooverInstitution,Libertarian
213,Alt-light,YAFTV,The Victims of Socialism: George Harbison,1071,Jordan B Peterson,1,Jordan B Peterson,IDW
214,Alt-light,YAFTV,The Victims of Socialism: George Harbison,1071,The Aspen Institute,1,,
215,Alt-light,YAFTV,The Victims of Socialism: George Harbison,1071,Liberty University,2,,
216,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,Wild Smile,1,Wild Smile,Alt-light
217,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,Mashed,2,,
218,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,MasterChef World,1,,
219,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,Gordon Ramsay,1,,
220,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,Jordan B Peterson,1,Jordan B Peterson,IDW
221,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,Yahoo,1,,
222,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,SAM THE COOKING GUY,1,,
223,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,abcqanda,1,,
224,Alt-light,Wild Smile,The Great Popeye's Chicken Shortage,52456,Gabriel Iglesias,1,,
225,Alt-light,The Dick Show,Too Many Nurses Are Dancing On Tik-Tok,8010,The Dick Show,4,The Dick Show,Alt-light
226,Alt-light,The Dick Show,Too Many Nurses Are Dancing On Tik-Tok,8010,RedLetterMedia,1,,
227,Alt-light,The Dick Show,Too Many Nurses Are Dancing On Tik-Tok,8010,JonTronShow,1,,
228,Alt-light,The Dick Show,Too Many Nurses Are Dancing On Tik-Tok,8010,abcqanda,1,,
229,Alt-light,The Dick Show,Too Many Nurses Are Dancing On Tik-Tok,8010,The Late Show with Stephen Colbert,1,The Late Show with Stephen Colbert,Partisan Left
230,Alt-light,The Dick Show,Too Many Nurses Are Dancing On Tik-Tok,8010,Corridor Crew,1,,
231,Alt-light,The Dick Show,Too Many Nurses Are Dancing On Tik-Tok,8010,NakeyJakey,1,,
